Embedding Method,Supporting documents retrieved,Condition skyline (p@k),LLM,Conditions accuracy,Severity accuracy
sentence-transformers/all-mpnet-base-v2,10,0.6933867735470942,o3-mini,0.4709418837675351,0.42384769539078154
sentence-transformers/all-mpnet-base-v2,10,0.694,qwen2.5-1.5b,0.256,0.083
sentence-transformers/all-mpnet-base-v2,10,0.694,qwen2.5-7b,0.343,0.275
sentence-transformers/all-mpnet-base-v2,10,0.694,qwen2.5-14b,0.35,0.384
sentence-transformers/all-mpnet-base-v2,10,0.694,qwen2.5-32b,0.42,0.408
sentence-transformers/all-mpnet-base-v2,30,0.828,deepseek-r1,0.44,0.42
sentence-transformers/all-mpnet-base-v2,30,0.8256513026052105,o3-mini,0.48296593186372744,0.4559118236472946
sentence-transformers/all-mpnet-base-v2,30,0.828,qwen2.5-1.5b,0.158,0.053
sentence-transformers/all-mpnet-base-v2,30,0.828,qwen2.5-7b,0.37,0.304
sentence-transformers/all-mpnet-base-v2,30,0.828,qwen2.5-7b,0.362,0.294
sentence-transformers/all-mpnet-base-v2,30,0.827,qwen2.5-14b,0.289,0.355
sentence-transformers/all-mpnet-base-v2,30,0.828,qwen2.5-14b,0.278,0.36
sentence-transformers/all-mpnet-base-v2,30,0.828,qwen2.5-32b,0.446,0.404
